date,region,product,units,unit_price
2024-03-13,North,Doohickey,5,4.75
2024-06-19,North,Widget,33,12.5
2024-01-03,West,Gadget,27,29.0
2024-04-03,West,Widget,4,12.5
2024-04-21,North,Widget,37,12.5
2024-01-08,North,Gizmo,36,99.0
2024-05-14,South,Gadget,35,29.0
2024-10-10,South,Widget,7,12.5
2024-06-04,North,Gadget,37,29.0
2024-10-07,West,Widget,35,12.5
2024-06-15,West,Gizmo,24,99.0
2024-04-26,South,Doohickey,16,4.75
2024-10-10,West,Widget,22,12.5
2024-05-20,North,Gizmo,8,99.0
2024-03-25,East,Gizmo,10,99.0
2024-07-02,North,Gizmo,36,99.0
2024-06-23,East,Doohickey,39,4.75
2024-10-26,West,Gizmo,5,99.0
2024-05-16,North,Widget,4,12.5
2024-11-19,West,Doohickey,19,4.75
2024-11-12,North,Gizmo,30,99.0
2024-03-20,North,Doohickey,32,4.75
2024-04-25,East,Widget,9,12.5
2024-07-13,West,Gadget,6,29.0
2024-08-13,East,Gadget,9,29.0
2024-09-09,West,Gizmo,23,99.0
2024-04-05,North,Gizmo,12,99.0
2024-04-22,South,Gadget,1,29.0
2024-10-06,East,Gizmo,19,99.0
2024-03-14,East,Widget,40,12.5
2024-03-23,North,Doohickey,30,4.75
2024-07-13,West,Gizmo,7,99.0
2024-11-13,North,Gizmo,13,99.0
2024-04-15,South,Widget,8,12.5
2024-10-02,North,Doohickey,1,4.75
2024-09-04,East,Gadget,40,29.0
2024-02-28,South,Widget,40,12.5
2024-03-21,East,Gizmo,23,99.0
2024-08-04,North,Doohickey,32,4.75
2024-08-16,East,Gizmo,6,99.0
